,title,description,date,tags,rating
0,Counter-Strike 2,"Об этой игре Более двух десятилетий Counter-Strike служит примером первоклассной соревновательной игры, путь развития которой определяют миллионы игроков со всего мира. Теперь пришло время нового этапа — Counter-Strike 2.Counter-Strike 2 — это бесплатное улучшение для CS:GO, которое знаменует собой крупнейший технологический скачок в истории серии. Оно разработано на движке Source 2 и модернизирует игру благодаря реалистичному и физически корректному рендерингу, организации сети по последнему слову технологий и улучшенным инструментам для мастерской сообщества.Кроме представленного в 1999 году классического игрового процесса, завязанного на достижении цели, Counter-Strike 2 включает:новые рейтинги CS и обновлённый премьер-режим;глобальные и региональные таблицы лидеров;улучшенные и воссозданные с нуля карты;принципиально новый динамический дым от гранат;игровой процесс, не зависящий от тикрейта;переосмысленные визуальные эффекты и звуки;все предметы инвентаря из CS:GO.","21 Aug, 2012","Шутер от первого лица, Шутер, Для нескольких игроков, Соревновательная, Экшен, Командная, Киберспорт, Тактика, От первого лица, Игрок против игрока, Сетевой кооператив, Кооператив, Стратегия, Военные действия, Война, Сложная, Торговля, Реализм, Быстрая, Поддержка модификаций",9 / 10
1,Clair Obscur: Expedition 33,"Об этой игре Раз в год Художница просыпается и рисует на Монолите. Выводит свое проклятое число. И каждый, чей возраст совпадает с числом, обращается в дым и угасает. Каждый год число уменьшается. Уже завтра она проснется и напишет цифру «33». Мы отправляемся в последнюю экспедицию, чтобы уничтожить Художницу.Мы — Экспедиция 33.Clair Obscur: Expedition 33 — это новая пошаговая ролевая игра с уникальной механикой реального времени, от которой невозможно оторваться. Исследуйте мир, созданный на основе Прекрасной эпохи Франции, и сражайтесь с опасными врагами.В этой новой JRPG действия в реальном времени дополняют классические пошаговые бои. Создайте уникальную экспедицию, используя разнообразное снаряжение, навыки, параметры и взаимодействия между ее участниками. Выполняйте уклонения, парируйте и наносите контрудары в реальном времени, собирайте комбо, осваивая ритмы атак, и нацеливайтесь на слабые места противника, используя систему прицеливания.Остался всего год. Присоединяйтесь к Гюставу, Маэль и другим участникам экспедиции в отчаянном путешествии, чтобы разорвать порочный круг смерти, созданный Художницей. Пройдите по следам предыдущих экспедиций и узнайте их судьбу. Познакомьтесь с участниками Экспедиции 33, которым предстоит работать вместе ради достижения их цели.Исследуйте чарующий мир, населенный сюрреалистическими врагами. Путешествуя по захватывающим пейзажам, от острова Многоликого до Забытого поля боя, открывайте скрытые задания и разгадывайте тайны. Находите союзников среди существ из легенд и встречайте уникальных компаньонов, используйте новые способы передвижения и раскрывайте тайные места на карте.Познакомьтесь с дебютной игрой от Sandfall Interactive, созданной на базе Unreal Engine 5. Вас ждут потрясающая графика и трогательный саундтрек.","24 Apr, 2025","Пошаговые сражения, Глубокий сюжет, Фэнтези, Исследования, Ролевая игра, Японская ролевая игра, Приключение, Проработанная вселенная, Ролевой экшен, Для одного игрока, Партийная ролевая игра, Похожа на Dark Souls, Кастомизация персонажа, 3D, Тёмное фэнтези, Постапокалипсис, Повествовательная, Реализм, Отличный саундтрек, Экшен",9 / 10
2,DOOM: The Dark Ages,"Об этой игре СТАНЬТЕ ПАЛАЧОМ В СРЕДНЕВЕКОВОЙ ВОЙНЕ С АДОМDOOM: The Dark Ages от студии id Software — это зрелищное сказание о легендарном Палаче Рока, которое поведает предысторию снискавших всемирную известность игр DOOM (2016) и DOOM Eternal. В третьей части современной серии DOOM игроки вновь наденут броню Палача Рока и прольют реки крови в мрачной средневековой войне с силами ада, какой ещё не видели.DOOM: The Dark Ages — новая одиночная кампания в несравненной серии DOOM — на стыке научной фантастики и тёмного фэнтези. Вас ждут яростные сражения и сногсшибательная графика на основе движка idTech посПОКОРИТЕ АД Рвите врагов в клочья, ведь вы — настоящее супероружие богов и царей. Для этой цели в вашем распоряжении окажутся не только классические средства, такие как супердробовик: вы сможете перемалывать кости врагам массой нового оружия, в том числе универсальным щитом-пилой. Игрокам будут противостоять орды демонов — приготовьтесь к безжалостным сражениям в духе оригинальной DOOM.  ВЫХОДИ И СРАЖАЙСЯ Узнайте об истоках ярости Палача Рока. Проживите историю обречённого быть супероружием в руках богов и царей. Палачу предстоит сдерживать натиск легионов ада и противостоять их главарю, цель которого — стать единственным существом в мире, чьё имя внушает страх, а значит, уничтожить самого Палача. Вы увидите рождение легенды, сразитесь со всей армией преисподней и переломите ход войны.  ОТКРОЙТЕ НЕИЗВЕДАННЫЕ МИРЫ Чтобы сокрушить полчища ада, Палач должен обагрить кровью новые земли. Загадки, испытания и награды прячутся в тенистых уголках древних замков, на огромных полях сражений, в мрачных лесах, древних чертогах ада и иных мирах. Вооружившись мощным щитом-пилой, прорубите себе путь через тёмный мир тайн и опасностей, исследуя самые масштабные уровни в истории id.","14 May, 2025","Экшен, Шутер от первого лица, Демоны, Тёмное фэнтези, Для одного игрока, Кинематографичная, Научная фантастика, Глубокий сюжет, Сцены жестокости, От первого лица, Атмосферная, Шутер, Проработанная вселенная, Драконы, Для взрослых, Мехи, Приключение, Кровь, Быстрая, Бумерский шутер",9 / 10
3,Schedule I,"Об этой игре Schedule I drugs, substances, or chemicals are defined as drugs with no currently accepted medical use and a high potential for abuse. - The Drug Enforcement AdministrationYou're a small-time drug dealer rolling into a fresh town with no cash, no product and no connections. Build your drug empire from the ground up in the grungy west-coast city of Hyland Point. Contend against intensifying law enforcement and deadly cartel competitors to expand your empire and reach the peak of the underworld.Produce a range of drugs to satisfy your customers, each one with it's own unique production process. Discover special recipes to create new drug variants with special properties.Walk, skate or drive throughout Hyland Point to get product into the hands of customers. Hire dealers to handle distribution for you.Purchase new properties and hire employees to expand the scope and scale of your operations. Work with suppliers to build a fully automated production and distribution chain.This is a dangerous line of work - you'll have to contend with increasing law enforcement, as well as deadly cartel competitors. Fight with fists, melee weapons or firearms.A growing empire needs skilled management. Reach new heights in co-op multiplayer.","24 Mar, 2025","Симулятор, Кооператив, Криминал, Для нескольких игроков, Открытый мир, Менеджмент, От первого лица, Экшен, Крафтинг, Строительство базы, Строительство, Автоматизация, Стелс, Стратегия, Шутер от первого лица, Вождение, Кастомизация персонажа, Шутер, Ранний доступ, Приключенческий экшен",10 / 10
4,The Elder Scrolls IV: Oblivion Remastered,"Об этой игре The Elder Scrolls IV: Oblivion™ Remastered представляет собой переосмысление лучшей игры 2006 года с потрясающей графикой и доработанным игровым процессом. Исследуйте необъятные просторы Сиродила и сражайтесь с захватчиками из Обливиона в новой версии легендарной ролевой игры от знаменитой студии Bethesda Game Studios. Обновленный Сиродил Путешествуйте по живописным землям Тамриэля и сражайтесь с даэдра в царствах Обливиона. Мир игры тщательно проработан, и все его детали воссозданы вручную. Бесконечные возможности Создайте персонажа по своему вкусу: благородного воина, мудрого волшебника, коварного убийцу или умелого кузнеца. Выберите свой путь и играйте так, как хочется. Грандиозное приключение В этой игре увлекательные истории и запоминающиеся персонажи ждут вас на каждом углу. Оттачивайте мастерство владения клинком и развивайте магические таланты, чтобы остановить вторжение даэдра и спасти Тамриэль. Полная история В The Elder Scrolls IV: Oblivion Remastered входят ранее выпущенные сюжетные дополнения Shivering Isles и Knights of the Nine, а также набор мини-дополнений.","22 Apr, 2025","Ролевая игра, Открытый мир, Фэнтези, Для одного игрока, Приключение, Исследования, Ролевой экшен, От первого лица, Кастомизация персонажа, От третьего лица, Глубокий сюжет, Приключенческий экшен, Отличный саундтрек, Насилие, Атмосферная, Экшен, Сексуальный контент, Сцены жестокости, Политика, Политическая",9 / 10
5,R.E.P.O.,"Об этой игре R.E.P.O. is an online co-op horror game featuring physics, proximity voice chat and scary monsters. You and up to 5 friends can venture into terrifying environments to extract valuable objects using your physics-based grabbing tool.Even the monsters are affected by Newton's law of gravity!Under the employ of a mysterious computer intelligence. It is your job to locate, transport and extract valuable items from the haunted remains of a long lost humanity....but know when to stay quiet.Transport anything from heavy pianos to fragile ceramics and use teamwork to make sure that the precious cargo will safely reach its destination.Robotic enhancements  increase your chances!Use your hard earned cash [SURPLUS] to purchase upgrades and weapons from your heartless [GENEROUS] creator.","26 Feb, 2025","Хоррор, Сетевой кооператив, Для нескольких игроков, Юмор, Кооператив, Физика, 3D, От первого лица, Стелс, Экшен, Роботы, Исследования, Экшен-рогалик, Процедурная генерация, Выживание, Постапокалипсис, Одна жизнь, Научная фантастика, Антиутопия, Ранний доступ",10 / 10
6,Cyberpunk 2077,"Об этой игре Cyberpunk 2077 — приключенческая ролевая игра с открытым миром, рассказывающая о киберпанке-наёмнике Ви и борьбе за жизнь в мегаполисе Найт-Сити. Мрачное будущее стало ещё более впечатляющим в улучшенной версии, в которую вошли новые дополнительные материалы. Создайте персонажа, выберите стиль игры и начните свой путь к высшей лиге, выполняя заказы, улучшая репутацию и оттачивая навыки. Ваши поступки влияют на происходящее и на весь город. В нём рождаются легенды. Какую сложат о вас?CYBERPUNK 2077 ПРЕОБРАЖАЕТСЯ В ОБНОВЛЕНИИ 2.2Бесплатное обновление 2.2 — ваш шанс блеснуть. Меняйте образ Ви с помощью новых имплантов, татуировок и макияжа. Прокачивайте авто с системой «Хрустальное покрытие» от «Рейфилд» и меняйте цвет элитных и спортивных машин по настроению. А ещё делайте шикарные снимки в обновлённом фоторежиме. Пора зажигать!СОЗДАЙТЕ СВОЙ МИР КИБЕРПАНКАСтаньте оснащённым имплантами преступником и сделайте себе имя на улицах Найт-Сити.ПОСЕЛИТЕСЬ В ГОРОДЕ БУДУЩЕГОВ Найт-Сити всегда есть чем заняться, куда сходить и с кем поговорить. Место, время и способ передвижения выбираете только вы.СТАНЬТЕ ЛЕГЕНДОЙПроворачивайте смелые аферы и заводите дружбу с харизматичными персонажами, на жизнь которых влияют ваши решения.ОЦЕНИТЕ УЛУЧШЕНИЯПосмотрите, как изменился Cyberpunk 2077 после усовершенствования игрового процесса, экономики, функционирования города, карты и прочих элементов.ПОЛУЧИТЕ ЭКСКЛЮЗИВНЫЕ НАГРАДЫПолучите игровые предметы и цифровые материалы, посвящённые играм CD PROJEKT RED, в рамках программы «Мои награды».УЗНАЙТЕ БОЛЬШЕ НА","9 Dec, 2020","Киберпанк, Открытый мир, Нагота, Ролевая игра, Для одного игрока, Научная фантастика, Шутер от первого лица, Для взрослых, Глубокий сюжет, Будущее, От первого лица, Атмосферная, Исследования, Экшен, Насилие, Отличный саундтрек, Ролевой экшен, Приключение, Кастомизация персонажа, Иммерсивный симулятор",9 / 10
7,Stellaris,"Об этой игре Встречайте бесчисленное множество инопланетных рас и взаимодействуйте с ними в своих межзвездных путешествиях. Создайте галактическую империю: пусть научные корабли бороздят просторы вселенной, а строительные суда окружают обнаруженные планеты станциями. Находите таинственные сокровища, открывайте для себя чудеса космоса и направляйте свой народ, расширяя или ограничивая возможности исследователей. Будьте готовы ко всему — держитесь союзников и берегитесь врагов. Как и во всех наших глобальных стратегиях, в Stellaris со временем у вас появляются новые возможности. А политика бесплатных обновлений, существующая в каждой активно поддерживаемой игре от Paradox, позволит вам еще больше усилить и расширить свою империю с новыми технологиями и возможностями. Что же ждет вас там, среди звезд? Ответ найдете лишь вы сами.Глубокая и разнообразная система исследованийКаждую игру вы будете начинать за цивилизацию, которая только открыла возможность межзвездных путешествий и жаждет начать исследование галактики. Отправляйте научные корабли на исследование систем и изучение аномалий, запускайте цепочки событий, находите необычные миры с еще более необычными историями и делайте открытия, которые могут перевернуть ход развития вашей империи.Невероятно красивый космосКомплексная проработка уникальных планет и небесных тел дает возможность насладиться эффектным зрелищем детализированного космоса.Безграничное видовое разнообразие и расширенная система дипломатииРучная настройка и процедурная генерация позволят вам встретить безграничное разнообразие видов. Выбирайте положительные и отрицательные признаки, особую идеологию, любые ограничения, способы развития и все, что только можно представить. Взаимодействуйте с другими расами с помощью расширенной системы дипломатии. Дипломатия — это ключ к сбалансированной глобальной стратегии. Подстраивайте свою стратегию под ситуацию с помощью умелых переговоров.Войны галактического масштабаВас ждет нескончаемый цикл войн, дипломатии, подозрений и союзов. Защищайтесь или атакуйте, используя полностью настраиваемые военные флотилии. И помните, что адаптация — это ключ к победе. Изучайте сложные технологии и используйте их при проектировании и изменении кораблей в конструкторе судов. Кроме того, перед вами масса возможностей, и каждое решение способно запустить целую цепочку событий.Огромные процедурно генерируемые галактикиРазвивайте и расширяйте свою империю с помощью тысяч случайно сгенерированных вариаций галактики, сочетаний планет, цепочек событий и блуждающих в космосе монстров.Играйте в своем стилеСоздайте свою, уникальную империю! Для каждой империи можно выбрать такие характеристики, как принципы и форма правления, класс пригодных для жизни планет, а также технологии, предпочитаемый тип двигателей для сверхсветовых перемещений и многое другое. Только от вас зависит, станет ли она сообществом грибов-убийц или рептилий-инженеров. Именно от ваших решений будет зависит направление и развитие игры.","9 May, 2016","Космос, Глобальная стратегия, Стратегия, Научная фантастика, 4X, Исследования, Песочница, Симулятор, Для нескольких игроков, Для одного игрока, Можно приостановить, Поддержка модификаций, Менеджмент, Дипломатия, Военные действия, Будущее, Реиграбельность, Отличный саундтрек, Процедурная генерация, Атмосферная",9 / 10
8,HELLDIVERS™ 2,"Об этой игре Последняя линия нападения галактики.Станьте Адским Десантником и сражайтесь за свободу по всему враждебному космосу в динамичном, безумном и беспощадном шутере с видом от третьего лица.ВАЖНОЕ СООБЩЕНИЕ — ВООРУЖЕННЫЕ СИЛЫ СУПЕР-ЗЕМЛИСвобода. Мир. Демократия. Ваши права граждан Супер-Земли — основы нашей цивилизации. Самого нашего существования. Но война продолжается. И вновь всему, что нас окружает, грозит опасность.Вступите в величайшую армию в истории и сделайте галактику безопасной и свободной.СТАНЬТЕ ЛЕГЕНДОЙВы попадете в отряды, в которые может входить до четырех Адских Десантников, и отправитесь на стратегически важные задания.Прикрывайте друг друга. Огонь по своим — это печальная данность войны, но для победы необходимо работать в команде.*ВЫКЛАДКИОбрушьте свободу с небес, незаметно проберитесь на территорию врага или сожмите зубы и бросьтесь в лобовую атаку.Вам решать, как доставлять свободу, ведь вы получите доступ к обширному арсеналу взрывчатых веществ, спасительной брони и способных изменить ход битвы стратагем — настоящего сокровища в арсенале Адского Десантника.РЕКВИЗИЦИЯСупер-Земля признает ваши усилия, позволяя реквизировать ценное имущество. Используйте эту возможность, чтобы получать доступ к различным наградам, которые будут полезны вам, вашему отряду, вашему эсминцу и в целом войне.УГРОЗЫВсе и на любой планете хочет убить вас. Вот с чем нам приходится иметь дело.Каждый враг имеет отличител ьные и непредсказуемые характеристики, тактику и поведение, но все они сражаются яростно и не боятся смерти.ГАЛАКТИЧЕСКАЯ ВОЙНАЗахватывайте вражеские планеты, отражайте вторжения и выполняйте задания, которые помогут общему ходу войны.Победа или поражение в этой войне определяется нашими совместными действиями.Мы встанем единым фронтом или погибнем.","8 Feb, 2024","Сетевой кооператив, Игрок против ИИ, Шутер от третьего лица, Для нескольких игроков, Экшен, Шутер, Кооператив, Научная фантастика, Капитализм, Космос, Шутер с эвакуацией, От третьего лица, Юмор, Сцены жестокости, Насилие, Отличный саундтрек, Сложная, Психологический хоррор, Для одного игрока, Открытый мир",7 / 10
9,Rust,"Об этой игре Единственная цель в Rust — выживание. Дикая природа острова, его обитатели, окружение, другие выжившие — всё вокруг хочет твоей смерти. Делай всё, что в твоих силах, чтобы пережить ещё одну ночь.Начинается 11-й год непрерывного развития Rust. Игра получила более 385 обновлений контента, а новые патчи неизменно выходят каждый месяц. Они включают в себя регулярные исправления баланса, улучшения ИИ и графики, а также обновления окружения и частое добавление нового контента: карт, оружия, транспорта и множества полезных предметов. Следи за сезонными событиями — на острове всегда происходит что-то интересное или опасное (а чаще и то, и другое). Среди обновлений игры:Процедурно генерируемые миры с поддержкой редактора карт для сообществаВозможность открывать собственные серверы и использовать на них модификацииСредства передвижения: лошади, модульные автомобили, воздушные шары, вертолёты, велосипеды, поезда, лодки и не толькоСложные электросистемы, а также системы для фермерства и автоматизацииСтроительство баз и рейдыНовые фракции, враги и дикая природаНовые монументы, типы ландшафта и области для исследованияРазвитые подводные зоныМузыкальные инструменты, на которых можно сыграть для других игроковОбширные наземные и подземные железнодорожные сетиМасштабное обновление графики и переработка окруженияНовинка 2025 года — примитивный режим, оружие и транспорт ... и многое другоеИССЛЕДУЙТы просыпаешься без одежды на таинственном острове, имея при себе лишь камень и факел. Придётся противостоять природе и преодолевать лишения (от жары и холода до жажды и голода), строить укрытия, собирать ресурсы и добывать еду — или стать чьим-то обедом. Исследуй остров, заброшенные поселения, таинственные монументы и фракции, которые здесь проживают. Но главное — остерегайся других выживших...СТРОЙПроектируй и сооружай базы, чтобы хранить на них добычу, защищать свою территорию и контролировать ресурсы острова. Изучай технологии, развивай фермы, прокладывай электросети и осваивай различные виды транспорта, чтобы быстрее перемещаться по острову. Делай всё, чтобы превзойти других.ВЫЖИВАЙВ Rust нет правил, кроме твоих собственных. Создавай инструменты, броню и оружие ради защиты. Объединяйся с друзьями, заключай союзы и строй поселения вместе с товарищами. Исследуй остров, кишащий жизнью, торгуй с другими игроками — или нападай на них, проводя рейды на их базы и отбирая нажитое тяжким трудом.","8 Feb, 2018","Выживание, Крафтинг, Для нескольких игроков, Открытый мир, Симулятор выживания и крафтинга в открытом мире, Строительство, Игрок против игрока, Песочница, Приключение, От первого лица, Экшен, Нагота, Шутер от первого лица, Шутер, Кооператив, Сетевой кооператив, Инди, Постапокалипсис, Ранний доступ, Симулятор",9 / 10
